,skills,degree_names,professional_company_names,related_skils_in_job,start_dates,end_dates
361,,,,,,
73,"['assembly', 'ATM', 'Cadence', 'calibration', 'CA', 'hardware', 'DC', 'de-bugging', 'Ethernet', 'Graphic', 'ISO 9000', 'LabView', 'layout', 'Linux OS', 'Logic', 'Mentor', 'Access', 'MS Office', 'Windows', 'multimeters', 'network', 'networking', 'ORCAD', 'oscilloscopes', 'power supplies', 'procurement', 'purchasing', 'Quality Assurance', 'Routers', 'schematics', 'signal generators', 'SONET', 'Switches', 'T1', 'test equipment', 'trouble shooting', 'troubleshooting', 'validation', 'View']",['Associate Degree'],"['Company Name', 'Company Name', 'Company Name']","[['testing', 'troubleshooting', 'ISO 9000', 'schematics', 'PCB rework'], ['testing', 'troubleshooting', 'ISO 9000', 'schematics', 'PCB rework'], ['testing', 'troubleshooting', 'ISO 9000', 'schematics', 'PCB layout']]","['August 2007', 'January 2002', 'April 1995']","['October 2014', 'June 2007', 'November 2001']"
374,,,,,,
155,,,,,,
104,,,,,,
394,,,,,,
377,,,,,,
124,,,,,,
68,,,,,,
450,,,,,,
9,,,,,,
194,,,,,,
406,,,,,,
84,,,,,,
371,,,,,,
388,,,,,,
495,,,,,,
30,,,,,,
316,,,,,,
408,,,,,,
