,skills_required,educationaL_requirements,experiencere_requirement
361,"Python
R or Java
TensorFlow
PyTorch
Scikit-learn.","Bachelors or Masters degree in Computer Science, Engineering, or a related field.",
73,,Bachelor of Science (BSc) in Computer Science & Engineering,3 to 5 years
374,"Maintenance  and Troubleshooting
Mechanical","Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical",2 to 5 years
155,"Brand Promotion
Campaign Management
Field Supervision
Merchandising
promotional activities
Trade Marketing",Master of Business Administration (MBA),At least 3 years
104,"Brand Promotion
Campaign Management
Field Supervision
Merchandising
promotional activities
Trade Marketing",Master of Business Administration (MBA),At least 3 years
394,"Auto CAD 2D 3D
Civil 3D
Civil Construction
Civil Engineering",•Bachelor of Business Administration (BBA) in Human Resource Management,5 to 10 years
377,"iOS
iOS App Developer
iOS Application Development
iOS Development
Mobile apps Developer (iOS)
Native IOS
Swift (iOS)
Swift UI",Bachelor of Science (BSc) in Computer Science,At least 4 years
124,"Brand Promotion
Campaign Management
Field Supervision
Merchandising
promotional activities
Trade Marketing",Master of Business Administration (MBA),At least 3 years
68,VAT and Tax,BBA in Accounting and Finance,1 to 3 years
450,,Bachelor of Science (BSc) in Computer Science & Engineering,3 to 5 years
9,"Fast typing skill
IELTSInternet browsing & online work ability.",Bachelor/Honors,1 to 3 years
194,"•Administration
•Health Safety and Environment
•Safety and Security Management",Bachelor/Honors,At least 5 years
406,"AUDIT AND INSPECTION
Banking
Internal Audit","Masters, Master of Business Administration (MBA), Master of Business Management (MBM)",At least 15 years
84,,Bachelor of Science (BSc),
371,"HRM Report
Human Resource Management
NGO","Masters degree in any discipline, Bachelor of Business Administration (BBA)",5 to 6 years
388,"AUDIT AND INSPECTION
Banking
Internal Audit","Masters, Master of Business Administration (MBA), Master of Business Management (MBM)",At least 15 years
495,"iOS
iOS App Developer
iOS Application Development
iOS Development
Mobile apps Developer (iOS)
Native IOS
Swift (iOS)
Swift UI",Bachelor of Science (BSc) in Computer Science,At least 4 years
30,Human Resource Management,"•Bachelor of Business Administration (BBA) in Human Resource Management
•BBA/MBA in HRM/Management from any reputed university.",
316,,B.Sc in Computer Science & Engineering from a reputed university.,At least 1 year
408,"Ansible
AWS Cloud
Cloud Platform
DevOps
Dockers and Kubernetes
Java
ReactJS
Terraform",Bachelor/Honors,At least 3 years
